seed,checkpoint_epoch,method,cosine,variance,sigma
0,1,np,0.2809509557600205,0.025923142009056533,0.1
0,1,np_fan_in,0.17082201904447106,0.10455213275093299,0.0525
0,1,np_fixed,0.28295677304267886,0.027591286255763126,0.45
0,1,wp,0.041595023006756,1.2651825978205755,0.1
0,25,np,0.26678765683542366,0.011544329716035953,0.1
0,25,np_fan_in,0.1978758427565201,0.10073903313336464,0.0525
0,25,np_fixed,0.31129651714402895,0.019277976410320172,0.45
0,25,wp,0.050915315365776995,0.5643884273675772,0.1
0,50,np,0.37449204486150006,0.010423462522717622,0.1
0,50,np_fan_in,0.2825859519581382,0.1468096449971199,0.0525
0,50,np_fixed,0.3706208532819381,0.02509621443370214,0.45
0,50,wp,0.07516412959846024,0.5084468050644948,0.1
1,1,np,0.2510917908297135,0.024881111859129026,0.1
1,1,np_fan_in,0.16013183851654714,0.10442210229543539,0.0525
1,1,np_fixed,0.24984707170380996,0.026900640932413247,0.45
1,1,wp,0.03902836508977298,1.220254292854896,0.1
1,25,np,0.3458535789870299,0.012353041338232847,0.1
1,25,np_fan_in,0.2442603745426123,0.07907943517829363,0.0525
1,25,np_fixed,0.3697521965377606,0.016262549985773287,0.45
1,25,wp,0.05694951568371975,0.599740292934271,0.1
1,50,np,0.3121996459766076,0.010796539263369945,0.1
1,50,np_fan_in,0.22644846744907016,0.0995861327705475,0.0525
1,50,np_fixed,0.3327799290561905,0.018543932479448043,0.45
1,50,wp,0.05401067864149809,0.5282832815096928,0.1
2,1,np,0.34099621388774654,0.02308285250686682,0.1
2,1,np_fan_in,0.20969606732519774,0.09076708962137882,0.0525
2,1,np_fixed,0.35380694831793125,0.02460399758643829,0.45
2,1,wp,0.061358335298987536,1.1321302065482506,0.1
2,25,np,0.1637918899057415,0.01177720590136372,0.1
2,25,np_fan_in,0.14887831821285474,0.0637981602922082,0.0525
2,25,np_fixed,0.2547972239697209,0.014385316513765317,0.45
2,25,wp,0.035458569373496666,0.57279173044058,0.1
2,50,np,0.2613007359421597,0.010703182034194469,0.1
2,50,np_fan_in,0.19403449059105837,0.0811777434240167,0.0525
2,50,np_fixed,0.29685073618132335,0.016981038773575655,0.45
2,50,wp,0.04910563768577189,0.5262811064720154,0.1
3,1,np,0.27865655505313325,0.02407046570800818,0.1
3,1,np_fan_in,0.16702698709873054,0.09715649921160478,0.0525
3,1,np_fixed,0.271120134418687,0.02605778918816493,0.45
3,1,wp,0.04169489684192321,1.179537243109483,0.1
3,25,np,0.22106416076063537,0.011698491362711559,0.1
3,25,np_fan_in,0.17692858343227552,0.07339858556023011,0.0525
3,25,np_fixed,0.26775976293541204,0.014541615860966535,0.45
3,25,wp,0.04764139628610932,0.5700025645586161,0.1
3,50,np,0.23321372010530186,0.010710139830525104,0.1
3,50,np_fan_in,0.1907685840394921,0.09596464506422098,0.0525
3,50,np_fixed,0.2771279379689636,0.018939967976453212,0.45
3,50,wp,0.05433091637857545,0.520927894115448,0.1
4,1,np,0.2668664042193156,0.025562190722960693,0.1
4,1,np_fan_in,0.16764555418720611,0.1002002182488258,0.0525
4,1,np_fixed,0.2745101919039511,0.02784850805138166,0.45
4,1,wp,0.042607169130888696,1.256396837417896,0.1
4,25,np,0.2308776586710547,0.011936223420959253,0.1
4,25,np_fan_in,0.14604822244548885,0.07321162262501625,0.0525
4,25,np_fixed,0.2997601383482106,0.015668855263636663,0.45
4,25,wp,0.036186008261239085,0.5835707939588106,0.1
4,50,np,0.19862733126546328,0.010467394448530216,0.1
4,50,np_fan_in,0.16745264823548495,0.1421723125502467,0.0525
4,50,np_fixed,0.27595370849415374,0.02460222112444731,0.45
4,50,wp,0.048848171163654815,0.5136386137742263,0.1
