seed,method,cosine,variance,sigma
0,np,0.30741021915231476,0.015963644749270037,0.10000000000000002
0,np_fan_in,0.21709460458637644,0.11736693696047251,0.0525
0,np_fixed,0.3216247144895486,0.023988492366595143,0.45
0,wp,0.05589148932366441,0.7793392767508825,0.10000000000000002
1,np,0.30304833859778363,0.01601023082024394,0.10000000000000002
1,np_fan_in,0.21028022683607653,0.09436255674809217,0.0525
1,np_fixed,0.317459732432587,0.02056904113254486,0.45
1,wp,0.0499961864716636,0.7827592890996199,0.10000000000000002
2,np,0.25536294657854924,0.015187746814141671,0.10000000000000002
2,np_fan_in,0.1842029587097036,0.07858099777920123,0.0525
2,np_fixed,0.3018183028229918,0.01865678429125975,0.45
2,wp,0.048640847452752024,0.7437343478202819,0.10000000000000002
3,np,0.24431147863969016,0.015493032300414947,0.10000000000000002
3,np_fan_in,0.17824138485683272,0.08883990994535196,0.0525
3,np_fixed,0.2720026117743542,0.019846457675194894,0.45
3,wp,0.04788906983553599,0.7568225672611825,0.10000000000000002
4,np,0.23212379805194452,0.015988602864150055,0.10000000000000002
4,np_fan_in,0.16038214162272665,0.10519471780802958,0.0525
4,np_fixed,0.28340801291543843,0.022706528146488547,0.45
4,wp,0.042547116185260865,0.784535415050311,0.10000000000000002
