seed,condition,condition_label,input_scale,checkpoint_epoch,batch_index,method,method_label,sigma,mean_estimate_cosine,avg_sample_cosine,sample_variance,batch_variance
0,base,"[-1, 1]",1.0,1,0,np,IS-NP,0.15,-0.005918107461184263,-0.004439634586439449,0.009172828868031502,5.6002874771365896e-05
0,base,"[-1, 1]",1.0,1,0,np_fan_in,Fan-in NP,0.1,0.04930024966597557,0.006110740543711775,0.009124720469117165,4.946048647980206e-05
0,base,"[-1, 1]",1.0,1,0,np_fixed,Vanilla NP,0.3,0.3941575884819031,0.022211133500968573,0.009541116654872894,3.2237687264569104e-05
0,base,"[-1, 1]",1.0,1,0,wp,WP,0.225,-0.007681277580559254,0.0006482860282024679,0.0682087168097496,0.0003495709679555148
0,base,"[-1, 1]",1.0,1,1,np,IS-NP,0.15,0.7367745041847229,0.0702890953985237,0.008938689716160297,3.412991645745933e-05
0,base,"[-1, 1]",1.0,1,1,np_fan_in,Fan-in NP,0.1,0.3552987277507782,0.03786707562612719,0.010306005366146564,4.5683118514716625e-05
0,base,"[-1, 1]",1.0,1,1,np_fixed,Vanilla NP,0.3,0.7338383197784424,0.061839061516608736,0.010588089935481548,3.314083369332366e-05
0,base,"[-1, 1]",1.0,1,1,wp,WP,0.225,0.29758843779563904,0.019450145817972952,0.07246850430965424,0.00033139900187961757
0,base,"[-1, 1]",1.0,1,2,np,IS-NP,0.15,0.7487604022026062,0.05034120383873718,0.011155372485518456,4.0302606066688895e-05
0,base,"[-1, 1]",1.0,1,2,np_fan_in,Fan-in NP,0.1,0.6515395045280457,0.05436713581633133,0.011966325342655182,6.037294224370271e-05
0,base,"[-1, 1]",1.0,1,2,np_fixed,Vanilla NP,0.3,0.797844409942627,0.0857963414581415,0.011755294166505337,4.794069172930904e-05
0,base,"[-1, 1]",1.0,1,2,wp,WP,0.225,0.3737140893936157,0.024960599654878023,0.0793551653623581,0.0003294199123047292
0,base,"[-1, 1]",1.0,1,3,np,IS-NP,0.15,0.6728964447975159,0.05894626668747757,0.01000169012695551,4.7458885092055425e-05
0,base,"[-1, 1]",1.0,1,3,np_fan_in,Fan-in NP,0.1,0.7625470757484436,0.07166521029672973,0.010231874883174896,5.195643097977154e-05
0,base,"[-1, 1]",1.0,1,3,np_fixed,Vanilla NP,0.3,0.7526213526725769,0.06324491186436111,0.009642569348216057,3.706716961460188e-05
0,base,"[-1, 1]",1.0,1,3,wp,WP,0.225,0.31128859519958496,0.020547007511292275,0.0766318142414093,0.0003708809381350875
0,base,"[-1, 1]",1.0,1,4,np,IS-NP,0.15,0.8838768005371094,0.12954841497904301,0.008441349491477013,4.6061028115218505e-05
0,base,"[-1, 1]",1.0,1,4,np_fan_in,Fan-in NP,0.1,0.8755218386650085,0.11521706858751107,0.008311480283737183,3.920373637811281e-05
0,base,"[-1, 1]",1.0,1,4,np_fixed,Vanilla NP,0.3,0.8964294195175171,0.13775616207179459,0.008399724029004574,4.259402703610249e-05
0,base,"[-1, 1]",1.0,1,4,wp,WP,0.225,0.4083004593849182,0.028884925243285883,0.06466640532016754,0.0003178436600137502
0,base,"[-1, 1]",1.0,1,5,np,IS-NP,0.15,0.3450830578804016,0.016156975540313093,0.011375022120773792,2.58301315625431e-05
0,base,"[-1, 1]",1.0,1,5,np_fan_in,Fan-in NP,0.1,0.2083083540201187,0.015327625027991114,0.010668429546058178,4.62688367406372e-05
0,base,"[-1, 1]",1.0,1,5,np_fixed,Vanilla NP,0.3,0.11495368927717209,0.008873180819743235,0.010345972143113613,6.994466093601659e-05
0,base,"[-1, 1]",1.0,1,5,wp,WP,0.225,-0.09238295257091522,-0.005802090619060133,0.08696305751800537,0.0003710988094098866
0,base,"[-1, 1]",1.0,1,6,np,IS-NP,0.15,0.9417728781700134,0.17360931721438344,0.012232574634253979,6.0333146393531933e-05
0,base,"[-1, 1]",1.0,1,6,np_fan_in,Fan-in NP,0.1,0.9706532955169678,0.18916190000697194,0.011515387333929539,3.248500433983281e-05
0,base,"[-1, 1]",1.0,1,6,np_fixed,Vanilla NP,0.3,0.9679014682769775,0.2235506445596305,0.012064149603247643,6.83749676682055e-05
0,base,"[-1, 1]",1.0,1,6,wp,WP,0.225,0.7658883929252625,0.07404755641161956,0.08708053827285767,0.00039059645496308804
0,base,"[-1, 1]",1.0,1,7,np,IS-NP,0.15,0.6056918501853943,0.04566172899916031,0.00955026876181364,3.922310861526057e-05
0,base,"[-1, 1]",1.0,1,7,np_fan_in,Fan-in NP,0.1,0.7498973608016968,0.06778827430680394,0.009392567910254002,3.5018099879380316e-05
0,base,"[-1, 1]",1.0,1,7,np_fixed,Vanilla NP,0.3,0.8702481985092163,0.07637001810653601,0.009294825606048107,3.234172982047312e-05
0,base,"[-1, 1]",1.0,1,7,wp,WP,0.225,0.20705021917819977,0.01596816598903388,0.07014507055282593,0.0003439233696553856
0,base,"[-1, 1]",1.0,120,0,np,IS-NP,0.15,0.8557496666908264,0.13089943685239025,0.0052500441670417786,3.0474244340439327e-05
0,base,"[-1, 1]",1.0,120,0,np_fan_in,Fan-in NP,0.1,0.8549401164054871,0.10303032833908218,0.005619281902909279,2.7553687687031925e-05
0,base,"[-1, 1]",1.0,120,0,np_fixed,Vanilla NP,0.3,0.8749683499336243,0.12157145481323824,0.005906449165195227,2.9533819542848505e-05
0,base,"[-1, 1]",1.0,120,0,wp,WP,0.225,0.4423198997974396,0.034659928535014234,0.05030026286840439,0.00022275393712334335
0,base,"[-1, 1]",1.0,120,1,np,IS-NP,0.15,0.47976353764533997,0.048665496543738605,0.0073591494001448154,6.155356823001057e-05
0,base,"[-1, 1]",1.0,120,1,np_fan_in,Fan-in NP,0.1,0.42121437191963196,0.02359345393657956,0.007635867223143578,3.101135007455014e-05
0,base,"[-1, 1]",1.0,120,1,np_fixed,Vanilla NP,0.3,0.5345869064331055,0.031479393506288034,0.008353624492883682,2.5340790671180002e-05
0,base,"[-1, 1]",1.0,120,1,wp,WP,0.225,0.25639063119888306,0.018056962762026767,0.06313727051019669,0.00032170707709155977
0,base,"[-1, 1]",1.0,120,2,np,IS-NP,0.15,0.6089420914649963,0.05271579617908824,0.007611283101141453,3.52925417246297e-05
0,base,"[-1, 1]",1.0,120,2,np_fan_in,Fan-in NP,0.1,0.6447672843933105,0.039436922801481464,0.007720851805061102,2.099541416100692e-05
0,base,"[-1, 1]",1.0,120,2,np_fixed,Vanilla NP,0.3,0.6903643608093262,0.059822440468269636,0.007859745062887669,3.2785628718556836e-05
0,base,"[-1, 1]",1.0,120,2,wp,WP,0.225,0.1819460690021515,0.015831804476329127,0.06385024636983871,0.0003717716608662158
0,base,"[-1, 1]",1.0,120,3,np,IS-NP,0.15,0.6352980136871338,0.0504589201695732,0.0067446269094944,2.5516121240798384e-05
