seed,condition,condition_label,input_scale,checkpoint_epoch,method,method_label,cosine,variance,batch_variance,sigma,num_batches
0,base,"[-1, 1]",1.0,1,np,IS-NP,0.6161172288120724,0.010108474525623024,4.366771213426546e-05,0.15,8
0,base,"[-1, 1]",1.0,1,np_fan_in,Fan-in NP,0.5778833008371294,0.010189598891884089,4.505608194449451e-05,0.1,8
0,base,"[-1, 1]",1.0,1,np_fixed,Vanilla NP,0.690999305807054,0.010203967685811222,4.545522097032517e-05,0.3,8
0,base,"[-1, 1]",1.0,1,wp,WP,0.2829707454657182,0.07568990904837847,0.00035059163928963244,0.225,8
0,base,"[-1, 1]",1.0,120,np,IS-NP,0.6877524442970753,0.0068183644325472414,4.031739422316605e-05,0.15,8
0,base,"[-1, 1]",1.0,120,np_fan_in,Fan-in NP,0.6986435391008854,0.007213676872197539,2.6260356662533013e-05,0.1,8
0,base,"[-1, 1]",1.0,120,np_fixed,Vanilla NP,0.629474826157093,0.007223630731459707,3.090481459366856e-05,0.3,8
0,base,"[-1, 1]",1.0,120,wp,WP,0.3243898395448923,0.05971786333248019,0.0002876065846066922,0.225,8
0,base,"[-1, 1]",1.0,240,np,IS-NP,0.7721365168690681,0.005555498704779893,3.0900660931365564e-05,0.15,8
0,base,"[-1, 1]",1.0,240,np_fan_in,Fan-in NP,0.6674594287760556,0.006444288417696953,4.089700541953789e-05,0.1,8
0,base,"[-1, 1]",1.0,240,np_fixed,Vanilla NP,0.78089939057827,0.0064154923893511295,2.647629048624367e-05,0.3,8
0,base,"[-1, 1]",1.0,240,wp,WP,0.46275184489786625,0.05444278381764889,0.00026182291367149446,0.225,8
0,scaled,"[-5, 5]",5.0,1,np,IS-NP,0.7046141773462296,0.010455738171003759,4.57887040283822e-05,0.15,8
0,scaled,"[-5, 5]",5.0,1,np_fan_in,Fan-in NP,0.3923960169777274,0.09962501563131809,0.00039977651613298804,0.1,8
0,scaled,"[-5, 5]",5.0,1,np_fixed,Vanilla NP,0.4060806706547737,0.09998802281916142,0.0004288544259907212,0.3,8
0,scaled,"[-5, 5]",5.0,1,wp,WP,0.3253373196348548,0.07782009430229664,0.0003602594842959661,0.225,8
0,scaled,"[-5, 5]",5.0,120,np,IS-NP,0.7386678159236908,0.005739905405789614,4.736120263260091e-05,0.15,8
0,scaled,"[-5, 5]",5.0,120,np_fan_in,Fan-in NP,0.49506838619709015,0.04975459864363074,0.00021055227443866897,0.1,8
0,scaled,"[-5, 5]",5.0,120,np_fixed,Vanilla NP,0.5218406897038221,0.050711377058178186,0.00020109402066736948,0.3,8
0,scaled,"[-5, 5]",5.0,120,wp,WP,0.4119512103497982,0.05861557926982641,0.00030271334617282264,0.225,8
0,scaled,"[-5, 5]",5.0,240,np,IS-NP,0.8197480738162994,0.005887231382075697,4.546274067251943e-05,0.15,8
0,scaled,"[-5, 5]",5.0,240,np_fan_in,Fan-in NP,0.5678578075021505,0.04757245723158121,0.0002096663556585554,0.1,8
0,scaled,"[-5, 5]",5.0,240,np_fixed,Vanilla NP,0.6256316229701042,0.047156676184386015,0.00019986438383057248,0.3,8
0,scaled,"[-5, 5]",5.0,240,wp,WP,0.459435660392046,0.06173960631713271,0.00033239962431252934,0.225,8
1,base,"[-1, 1]",1.0,1,np,IS-NP,0.7287481855601072,0.011003145889844745,4.7309765932368464e-05,0.15,8
1,base,"[-1, 1]",1.0,1,np_fan_in,Fan-in NP,0.7506301142275333,0.010441551450639963,4.079975860804552e-05,0.1,8
1,base,"[-1, 1]",1.0,1,np_fixed,Vanilla NP,0.6756349690258503,0.010405789595097303,4.646072557079606e-05,0.3,8
1,base,"[-1, 1]",1.0,1,wp,WP,0.5133881019428372,0.0792113202624023,0.0003738788163900608,0.225,8
1,base,"[-1, 1]",1.0,120,np,IS-NP,0.8050081953406334,0.006560518930200487,4.2699288997027907e-05,0.15,8
1,base,"[-1, 1]",1.0,120,np_fan_in,Fan-in NP,0.7964683659374714,0.006584725633729249,4.1751735807338264e-05,0.1,8
1,base,"[-1, 1]",1.0,120,np_fixed,Vanilla NP,0.811472836881876,0.006583509501069784,3.7097967378940666e-05,0.3,8
1,base,"[-1, 1]",1.0,120,wp,WP,0.4052057443186641,0.06006281729787588,0.0002942579158116132,0.225,8
1,base,"[-1, 1]",1.0,240,np,IS-NP,0.8371985144913197,0.005742956418544054,3.579740950954147e-05,0.15,8
1,base,"[-1, 1]",1.0,240,np_fan_in,Fan-in NP,0.8546917475759983,0.0061573246493935585,3.5871128375219996e-05,0.1,8
1,base,"[-1, 1]",1.0,240,np_fixed,Vanilla NP,0.881196029484272,0.006145017803646624,5.746201691181341e-05,0.3,8
1,base,"[-1, 1]",1.0,240,wp,WP,0.5995532926172018,0.059922798071056604,0.00029968101807753555,0.225,8
1,scaled,"[-5, 5]",5.0,1,np,IS-NP,0.7608798556029797,0.010936736420262605,5.025088148613577e-05,0.15,8
1,scaled,"[-5, 5]",5.0,1,np_fan_in,Fan-in NP,0.48992679454386234,0.0989116607233882,0.00041794264325289987,0.1,8
1,scaled,"[-5, 5]",5.0,1,np_fixed,Vanilla NP,0.4448319347575307,0.09875879902392626,0.0004173485594947124,0.3,8
1,scaled,"[-5, 5]",5.0,1,wp,WP,0.5183482640422881,0.08000960992649198,0.00037585034806397744,0.225,8
1,scaled,"[-5, 5]",5.0,120,np,IS-NP,0.8742595314979553,0.005659378366544843,3.604438506954466e-05,0.15,8
