seed,condition,condition_label,input_scale,method,method_label,cosine,variance,batch_variance,sigma
0,base,"[-1, 1]",1.0,np,IS-NP,0.692002063326072,0.007494112554316719,3.8295255762932356e-05,0.15
0,base,"[-1, 1]",1.0,np_fan_in,Fan-in NP,0.6479954229046901,0.00794918806059286,3.740448134218847e-05,0.10000000000000002
0,base,"[-1, 1]",1.0,np_fixed,Vanilla NP,0.7004578408474723,0.007947696935540685,3.427877535007914e-05,0.3
0,base,"[-1, 1]",1.0,wp,WP,0.35670414330282557,0.06328351873283584,0.0003000070458559397,0.225
0,scaled,"[-5, 5]",5.0,np,IS-NP,0.7543433556954066,0.007360958319623023,4.620421577783418e-05,0.15
0,scaled,"[-5, 5]",5.0,np_fan_in,Fan-in NP,0.48510740355898935,0.06565069050217669,0.0002733317154100708,0.10000000000000002
0,scaled,"[-5, 5]",5.0,np_fixed,Vanilla NP,0.5178509944429001,0.06595202535390854,0.0002766042768295544,0.3
0,scaled,"[-5, 5]",5.0,wp,WP,0.3989080634588997,0.06605842662975192,0.0003317908182604394,0.225
1,base,"[-1, 1]",1.0,np,IS-NP,0.7903182984640201,0.007768873746196429,4.1935488146312615e-05,0.15
1,base,"[-1, 1]",1.0,np_fan_in,Fan-in NP,0.8005967425803343,0.00772786724458759,3.947420759686793e-05,0.10000000000000002
1,base,"[-1, 1]",1.0,np_fixed,Vanilla NP,0.7894346117973328,0.007711438966604571,4.700690328718338e-05,0.3
1,base,"[-1, 1]",1.0,wp,WP,0.506049046292901,0.06639897854377826,0.00032260591675973654,0.225
1,scaled,"[-5, 5]",5.0,np,IS-NP,0.8149220558504263,0.007411300456927468,4.208253297595851e-05,0.15
1,scaled,"[-5, 5]",5.0,np_fan_in,Fan-in NP,0.5634714712699255,0.06346510474880536,0.0002622907371308732,0.10000000000000002
1,scaled,"[-5, 5]",5.0,np_fixed,Vanilla NP,0.5510378951827685,0.06338771696512897,0.00027107631528148585,0.3
1,scaled,"[-5, 5]",5.0,wp,WP,0.5141800215157369,0.06692176855479677,0.00032637496284830075,0.225
2,base,"[-1, 1]",1.0,np,IS-NP,0.746245488524437,0.007636307971552014,3.804056617203363e-05,0.15
2,base,"[-1, 1]",1.0,np_fan_in,Fan-in NP,0.7781192945937315,0.008205372743153324,3.7544471297223936e-05,0.10000000000000002
2,base,"[-1, 1]",1.0,np_fixed,Vanilla NP,0.7471668279419342,0.008107965074790021,3.6730333249579417e-05,0.3
2,base,"[-1, 1]",1.0,wp,WP,0.4920802738439913,0.0632542568879823,0.0003016720656887628,0.225
2,scaled,"[-5, 5]",5.0,np,IS-NP,0.7598700523376465,0.007692115614190698,4.8242819805939995e-05,0.15
2,scaled,"[-5, 5]",5.0,np_fan_in,Fan-in NP,0.5388843175023794,0.06765286453689139,0.0002903521599364467,0.10000000000000002
2,scaled,"[-5, 5]",5.0,np_fixed,Vanilla NP,0.5289444796120127,0.0674435041534404,0.00027564111223910004,0.3
2,scaled,"[-5, 5]",5.0,wp,WP,0.44975053798407316,0.06738174722219507,0.0003461943142610835,0.225
3,base,"[-1, 1]",1.0,np,IS-NP,0.8543016190330187,0.006504694378236309,3.3800164146668976e-05,0.15
3,base,"[-1, 1]",1.0,np_fan_in,Fan-in NP,0.8550855834037066,0.0072701756143942475,3.873600833988652e-05,0.10000000000000002
3,base,"[-1, 1]",1.0,np_fixed,Vanilla NP,0.8414618453631798,0.007178405319185306,4.047158343685927e-05,0.3
3,base,"[-1, 1]",1.0,wp,WP,0.5696781619141499,0.05557811384399732,0.0002781647175045994,0.225
