seed,checkpoint_epoch,method,cosine,variance,sigma
0,1,np,0.04533875945483899,3.392223537180853e-06,0.0175
0,1,np_fan_in,0.03426075643589458,4.826397204439959e-06,0.0055
0,1,np_fixed,0.014924667098427245,2.5749593513192732e-05,0.19
0,1,wp,0.0009045623143936474,0.010916142779238084,0.0125
0,25,np,0.04375356367564119,2.1050558787981367e-05,0.0175
0,25,np_fan_in,0.04054982656547825,2.1505545547647078e-05,0.0055
0,25,np_fixed,0.02854010752522681,4.568982334687527e-05,0.19
0,25,wp,0.0009488635845752313,0.05833088023507077,0.0125
0,50,np,0.043941485405544684,3.238777522045477e-05,0.0175
0,50,np_fan_in,0.03817294850844465,3.3669368126061914e-05,0.0055
0,50,np_fixed,0.035689532657444865,6.0703198294765067e-05,0.19
0,50,wp,0.0010456353719678947,0.08042860139742532,0.0125
1,1,np,0.047340509814003014,3.420874237489236e-06,0.0175
1,1,np_fan_in,0.041170221755502605,4.672847892571551e-06,0.0055
1,1,np_fixed,0.01729479822983115,2.5811831980190105e-05,0.19
1,1,wp,0.0008852384313673457,0.011562327516105626,0.0125
1,25,np,0.047752739297097446,1.9933730396131723e-05,0.0175
1,25,np_fan_in,0.04759736745578833,2.0570747786797905e-05,0.0055
1,25,np_fixed,0.030812595333435687,4.48806565548198e-05,0.19
1,25,wp,0.0009774138811052327,0.05856397761332104,0.0125
1,50,np,0.04519043097991849,3.1307225741850645e-05,0.0175
1,50,np_fan_in,0.04011878981239363,3.2258604707628374e-05,0.0055
1,50,np_fixed,0.035576038753323234,5.8641983562728506e-05,0.19
1,50,wp,0.0010574409308478176,0.08118410982058176,0.0125
2,1,np,0.045912217733490725,3.6024331268465147e-06,0.0175
2,1,np_fan_in,0.03856223333052948,4.925455201941114e-06,0.0055
2,1,np_fixed,0.01632974163425611,2.6640061492761633e-05,0.19
2,1,wp,0.0008390707315430121,0.011872716755379953,0.0125
2,25,np,0.04831494072117531,2.067833116142284e-05,0.0175
2,25,np_fan_in,0.046374160620338736,2.0891154963930157e-05,0.0055
2,25,np_fixed,0.029743173281135765,4.5775993303765e-05,0.19
2,25,wp,0.0009688466892272081,0.05945578963517228,0.0125
2,50,np,0.0464059212530875,3.111202163370046e-05,0.0175
2,50,np_fan_in,0.042028312676745797,3.242777021507413e-05,0.0055
2,50,np_fixed,0.036978806513111535,6.09818292214372e-05,0.19
2,50,wp,0.0010891545468213661,0.07999671802229588,0.0125
3,1,np,0.048704037889409475,3.411556737583197e-06,0.0175
3,1,np_fan_in,0.04160780318595832,4.727132830146478e-06,0.0055
3,1,np_fixed,0.01689391680161522,2.591694310630399e-05,0.19
3,1,wp,0.0009328303002488694,0.011122146571326591,0.0125
3,25,np,0.047078795971044,2.0402423124649483e-05,0.0175
3,25,np_fan_in,0.04584473741863145,2.1082758347664916e-05,0.0055
3,25,np_fixed,0.030959913522214094,4.6243479070009524e-05,0.19
3,25,wp,0.0009916385874855114,0.0580787839715743,0.0125
3,50,np,0.05482591953261963,3.193107162787736e-05,0.0175
3,50,np_fan_in,0.0499116003494281,3.285792901615679e-05,0.0055
3,50,np_fixed,0.03695965248122549,6.212072280842079e-05,0.19
3,50,wp,0.0012820816509074087,0.07977594837279575,0.0125
4,1,np,0.04713812530005906,3.8618257534221635e-06,0.0175
4,1,np_fan_in,0.039350116630285044,5.388170990054487e-06,0.0055
4,1,np_fixed,0.017066685576163067,2.738907448202342e-05,0.19
4,1,wp,0.0008947877486381745,0.012208110014515003,0.0125
4,25,np,0.041927585552018996,2.0536285481056768e-05,0.0175
4,25,np_fan_in,0.03725925538281705,2.1215401339175566e-05,0.0055
4,25,np_fixed,0.027433145310334646,4.6827192890563206e-05,0.19
4,25,wp,0.000917052575673819,0.058105286439437694,0.0125
4,50,np,0.051906182835607426,3.359764684395849e-05,0.0175
4,50,np_fan_in,0.046115753803458163,3.4961492677926044e-05,0.0055
4,50,np_fixed,0.037553572341861664,6.333956089595159e-05,0.19
4,50,wp,0.0011395198418311994,0.08395701261889904,0.0125
