seed,checkpoint_epoch,method,cosine,variance,sigma
0,1,np,0.25754953628536986,1.559057413661168e-05,0.0325
0,1,np_fan_in,0.24745322111001147,1.9053412885203287e-05,0.00875
0,1,np_fixed,0.15513543447833072,5.6826595894568886e-05,0.12
0,1,wp,0.011063120274274333,0.010638839684323524,0.0275
0,10,np,0.24509185541476777,1.2377016007498888e-05,0.0325
0,10,np_fan_in,0.23200833962670267,1.482349365518984e-05,0.00875
0,10,np_fixed,0.1600325448013572,3.46338628784144e-05,0.12
0,10,wp,0.011023794149936263,0.007772824707997542,0.0275
0,20,np,0.16730351711232175,1.2045853366002166e-05,0.0325
0,20,np_fan_in,0.1656033179984847,1.4085249460359631e-05,0.00875
0,20,np_fixed,0.14786066180035504,2.8575380133016553e-05,0.12
0,20,wp,0.008235266226980993,0.007021229087902821,0.0275
1,1,np,0.2553841087228454,1.5104207289752752e-05,0.0325
1,1,np_fan_in,0.2446090822090218,1.8301326099807212e-05,0.00875
1,1,np_fixed,0.1536819904820243,5.566968090803471e-05,0.12
1,1,wp,0.010928269453358643,0.01038511421060813,0.0275
1,10,np,0.17596559880722337,1.1930762467042102e-05,0.0325
1,10,np_fan_in,0.17724864813499153,1.4218522276325476e-05,0.00875
1,10,np_fixed,0.14187153304087075,3.396690830633819e-05,0.12
1,10,wp,0.008994588792950326,0.007480749030836296,0.0275
1,20,np,0.13690370363812557,1.1730246229196357e-05,0.0325
1,20,np_fan_in,0.14550163496686802,1.3614704793644413e-05,0.00875
1,20,np_fixed,0.1482434874054974,2.7679872283978047e-05,0.12
1,20,wp,0.007607136671714334,0.006817291735401893,0.0275
2,1,np,0.23533001336366383,1.4924788128298846e-05,0.0325
2,1,np_fan_in,0.2273376598985973,1.8577081520449007e-05,0.00875
2,1,np_fixed,0.14441250963632996,5.618742097197613e-05,0.12
2,1,wp,0.01011895081514854,0.010390575965866447,0.0275
2,10,np,0.23309566180652647,1.1465519240929332e-05,0.0325
2,10,np_fan_in,0.22096586628342424,1.382629821144288e-05,0.00875
2,10,np_fixed,0.14702479795479317,3.3784215209492385e-05,0.12
2,10,wp,0.010491689357823178,0.0073404093747630895,0.0275
2,20,np,0.19514118710846534,1.108418552176561e-05,0.0325
2,20,np_fan_in,0.19173346448348147,1.3153416902549925e-05,0.00875
2,20,np_fixed,0.15532320712420986,2.7896710070093217e-05,0.12
2,20,wp,0.009835688908746256,0.0066251884348569375,0.0275
3,1,np,0.25745639128725667,1.451336926118971e-05,0.0325
3,1,np_fan_in,0.24228459127993981,1.797078275446801e-05,0.00875
3,1,np_fixed,0.15714800221992453,5.5320512897225836e-05,0.12
3,1,wp,0.011020053998191856,0.010056363060248336,0.0275
3,10,np,0.18952138528331067,1.1494136788334183e-05,0.0325
3,10,np_fan_in,0.18554202825434682,1.390636303449646e-05,0.00875
3,10,np_fixed,0.14181823144430544,3.407925619356161e-05,0.12
3,10,wp,0.008951362057118368,0.007373819078255727,0.0275
3,20,np,0.16592103102033945,1.142802841602147e-05,0.0325
3,20,np_fan_in,0.16316216076904935,1.3474668236378385e-05,0.00875
3,20,np_fixed,0.14626352011617313,2.8224563433786605e-05,0.12
3,20,wp,0.008286241319716604,0.006785214651695717,0.0275
4,1,np,0.2306703694148867,1.4998536437413927e-05,0.0325
4,1,np_fan_in,0.2301194445887354,1.8491182556583328e-05,0.00875
4,1,np_fixed,0.146663066110949,5.540789909034091e-05,0.12
4,1,wp,0.010534352135421561,0.010307791561259627,0.0275
4,10,np,0.2075110048647406,1.1517335083905225e-05,0.0325
4,10,np_fan_in,0.2002279639307624,1.4078371867106743e-05,0.00875
4,10,np_fixed,0.14576468771613482,3.389364703629004e-05,0.12
4,10,wp,0.009865723436386553,0.007369836607028538,0.0275
4,20,np,0.14948399764731893,1.1341881340444926e-05,0.0325
4,20,np_fan_in,0.1538544851126892,1.3512122180844615e-05,0.00875
4,20,np_fixed,0.1431912863051205,2.7685930740110268e-05,0.12
4,20,wp,0.007791652579231859,0.006722373242558502,0.0275
