seed,method,cosine,variance,sigma
0,np,0.22331496960415312,1.3337814503370911e-05,0.0325
0,np_fan_in,0.2150216262450663,1.5987385333584252e-05,0.00875
0,np_fixed,0.1543428803600143,4.001194630199995e-05,0.12
0,wp,0.010107393550397198,0.008477631160074628,0.0275
1,np,0.18941780372273143,1.292173866199707e-05,0.0325
1,np_fan_in,0.18911978843696045,1.5378184389925702e-05,0.00875
1,np_fixed,0.1479323369761308,3.910548716611698e-05,0.12
1,wp,0.009176664972674435,0.00822771832561544,0.0275
2,np,0.22118895409288522,1.2491497630331263e-05,0.0325
2,np_fan_in,0.21334566355516768,1.5185598878147271e-05,0.00875
2,np_fixed,0.14892017157177764,3.928944875052058e-05,0.12
2,wp,0.010148776360572659,0.008118724591828825,0.0275
3,np,0.20429960253030224,1.2478511488515122e-05,0.0325
3,np_fan_in,0.19699626010111201,1.5117271341780951e-05,0.00875
3,np_fixed,0.14840991792680103,3.920811084152468e-05,0.12
3,wp,0.009419219125008942,0.008071798930066593,0.0275
4,np,0.19588845730898208,1.2619250953921357e-05,0.0325
4,np_fan_in,0.19473396454406233,1.536055886817823e-05,0.00875
4,np_fixed,0.14520634671073476,3.899582562224707e-05,0.12
4,wp,0.009397242717013326,0.008133333803615556,0.0275
