seed,task,method,method_label,score_metric,best_train_loss,best_test_loss,best_train_score,best_test_score,convergence_epoch,diverged,elapsed_sec,cosine,variance
0,MNIST,bp,BP,Accuracy,0.0001946455198340118,0.003980243827402591,1.0,0.9858,18,False,211.58156538009644,1.0,0.0
0,MNIST,np,IS NP,Accuracy,0.009706192150712013,0.009481730088591576,0.96,0.9618,53,False,200.50265860557556,0.22331496960415312,1.3337814503370911e-05
0,MNIST,np_fixed,Vanilla NP,Accuracy,0.0178206003010273,0.01686137956380844,0.922,0.9299,148,False,190.19356870651245,0.1543428803600143,4.001194630199995e-05
0,MNIST,np_fan_in,Fan-in NP,Accuracy,0.012741238802671433,0.01191690923422575,0.94225,0.949,123,False,191.03704190254211,0.2150216262450663,1.5987385333584252e-05
0,MNIST,wp,WP,Accuracy,0.03844593715667725,0.03699407060146332,0.80425,0.8233,91,False,284.4090962409973,0.010107393550397198,0.008477631160074628
1,MNIST,bp,BP,Accuracy,0.0001489096855511889,0.003991557867825031,1.0,0.9853,18,False,210.8152050971985,1.0,0.0
1,MNIST,np,IS NP,Accuracy,0.00898492594063282,0.008979451495409012,0.96475,0.9631,53,False,201.77485752105713,0.18941780372273143,1.292173866199707e-05
1,MNIST,np_fixed,Vanilla NP,Accuracy,0.01866503982245922,0.01770388081371784,0.9205,0.9289,141,False,189.91815543174744,0.1479323369761308,3.910548716611698e-05
1,MNIST,np_fan_in,Fan-in NP,Accuracy,0.013455660596489906,0.012797536626458168,0.9405,0.9453,114,False,191.66401195526123,0.18911978843696045,1.5378184389925702e-05
1,MNIST,wp,WP,Accuracy,0.03994935789704323,0.0384853994846344,0.81225,0.8248,74,False,284.78832626342773,0.009176664972674435,0.00822771832561544
2,MNIST,bp,BP,Accuracy,0.00014533110451884568,0.003947824627161026,1.0,0.9848,19,False,214.564067363739,1.0,0.0
2,MNIST,np,IS NP,Accuracy,0.009562113665044308,0.009359219385683536,0.95875,0.9609,63,False,200.86689162254333,0.22118895409288522,1.2491497630331263e-05
2,MNIST,np_fixed,Vanilla NP,Accuracy,0.018446376845240593,0.017412284153699876,0.92125,0.9269,175,False,189.3172643184662,0.14892017157177764,3.928944875052058e-05
2,MNIST,np_fan_in,Fan-in NP,Accuracy,0.013007126376032829,0.012275989004969597,0.94075,0.947,130,False,188.8969578742981,0.21334566355516768,1.5185598878147271e-05
2,MNIST,wp,WP,Accuracy,0.037944764047861096,0.037685257744789126,0.81375,0.8214,83,False,283.17222142219543,0.010148776360572659,0.008118724591828825
3,MNIST,bp,BP,Accuracy,0.0001671371617121622,0.003968127728998661,1.0,0.9856,19,False,216.1891906261444,1.0,0.0
3,MNIST,np,IS NP,Accuracy,0.009682132005691528,0.009758830885589122,0.9595,0.9609,54,False,200.72409868240356,0.20429960253030224,1.2478511488515122e-05
3,MNIST,np_fixed,Vanilla NP,Accuracy,0.017463228777050973,0.016568578749895094,0.9215,0.9318,180,False,188.21829867362976,0.14840991792680103,3.920811084152468e-05
3,MNIST,np_fan_in,Fan-in NP,Accuracy,0.01217676679044962,0.011640330801904202,0.946,0.9513,122,False,189.3852093219757,0.19699626010111201,1.5117271341780951e-05
3,MNIST,wp,WP,Accuracy,0.04050104823708534,0.03981826527118683,0.79825,0.8144,63,False,282.5159363746643,0.009419219125008942,0.008071798930066593
4,MNIST,bp,BP,Accuracy,0.00015988956321962177,0.003956298971176148,1.0,0.9853,19,False,214.01888346672058,1.0,0.0
4,MNIST,np,IS NP,Accuracy,0.00975466039776802,0.00954949587881565,0.958,0.961,55,False,202.0154664516449,0.19588845730898208,1.2619250953921357e-05
4,MNIST,np_fixed,Vanilla NP,Accuracy,0.017844551891088484,0.01692045491337776,0.91825,0.9265,168,False,188.59960007667542,0.14520634671073476,3.899582562224707e-05
4,MNIST,np_fan_in,Fan-in NP,Accuracy,0.013585200734436512,0.01284951269030571,0.93725,0.9471,120,False,189.9809935092926,0.19473396454406233,1.536055886817823e-05
4,MNIST,wp,WP,Accuracy,0.03698311734199524,0.035446780210733414,0.816,0.8225,141,False,285.45558524131775,0.009397242717013326,0.008133333803615556
