seed,checkpoint_epoch,checkpoint_fraction,method,sigma,component,component_label,layer_index,avg_sample_cosine,mean_estimate_cosine,sample_variance,batch_variance
0,1,0.004166666666666667,np,0.15,all,All layers,-1,0.07692723494574238,0.6402715872973204,0.010140289319679141,4.387241369840922e-05
0,1,0.004166666666666667,np,0.15,layer_1,Layer 1,0,0.0045966740253788885,0.08938177116215229,0.00968522997573018,3.9991305357034435e-05
0,1,0.004166666666666667,np,0.15,layer_2,Layer 2,1,0.023621601985920886,0.28162767738103867,0.009853333351202309,4.778491961587861e-05
0,1,0.004166666666666667,np,0.15,layer_3,Layer 3,2,0.2228500364231877,0.954425148665905,0.016076412750408053,4.3621216235578686e-05
0,1,0.004166666666666667,np_fan_in,0.1,all,All layers,-1,0.0803486353431102,0.6464628428220749,0.010209932341240346,4.5119115839042934e-05
0,1,0.004166666666666667,np_fan_in,0.1,layer_1,Layer 1,0,0.014795709394858629,0.23488266486674547,0.010424435371533036,3.9550590145154274e-05
0,1,0.004166666666666667,np_fan_in,0.1,layer_2,Layer 2,1,0.015519771927938564,0.19259151862934232,0.009108077909331769,4.745831893160357e-05
0,1,0.004166666666666667,np_fan_in,0.1,layer_3,Layer 3,2,0.22121406113531822,0.9285823069512844,0.017308742506429553,7.095369505805138e-05
0,1,0.004166666666666667,np_fixed,0.3,all,All layers,-1,0.0970197366727992,0.7583763711154461,0.010225137579254806,4.562732692647842e-05
0,1,0.004166666666666667,np_fixed,0.3,layer_1,Layer 1,0,0.011926681755020733,0.18281457107514143,0.010462287929840386,4.507697917688347e-05
0,1,0.004166666666666667,np_fixed,0.3,layer_2,Layer 2,1,0.027881940332720966,0.44251514226198196,0.009065556863788515,4.3078021917608567e-05
0,1,0.004166666666666667,np_fixed,0.3,layer_3,Layer 3,2,0.25016561286077676,0.9958256557583809,0.017604586202651262,7.042451983352294e-05
0,1,0.004166666666666667,wp,0.225,all,All layers,-1,0.02699453909051499,0.33740988466888666,0.07582701183855534,0.00035178869802621193
0,1,0.004166666666666667,wp,0.225,layer_1,Layer 1,0,0.007865770407829587,0.12159416289068758,0.07531000673770905,0.00031993479933589697
0,1,0.004166666666666667,wp,0.225,layer_2,Layer 2,1,0.004288131267207973,0.07352635078132153,0.07495266292244196,0.00037811037691426463
0,1,0.004166666666666667,wp,0.225,layer_3,Layer 3,2,0.09468898304774788,0.705434400588274,0.08695779368281364,0.0003960464455303736
