seed,method,cosine,variance,sigma
0,np,0.6791604453076919,0.0074709000570389135,0.15
0,np_fan_in,0.6816119402647018,0.00791387069815149,0.10000000000000002
0,np_fixed,0.7233494874089956,0.007903500460088253,0.3
0,wp,0.3439644466658744,0.06325799971818924,0.225
1,np,0.8347635914882024,0.007563936776326348,0.15
1,np_fan_in,0.8571998079617819,0.007719125540461391,0.10000000000000002
1,np_fixed,0.8385637661752602,0.007812012316814314,0.3
1,wp,0.5774995192574958,0.06516745034605265,0.225
2,np,0.6516499978800615,0.007273039528323959,0.15
2,np_fan_in,0.7215872512509426,0.007977968625103435,0.10000000000000002
2,np_fixed,0.7246699125195543,0.007912302835999677,0.3
2,wp,0.3851132371152441,0.05980325707544883,0.225
3,np,0.691875192647179,0.006726142077241093,0.15
3,np_fan_in,0.7055642066212992,0.007443390864258011,0.10000000000000002
3,np_fixed,0.7124016818900903,0.007477786023324977,0.3
3,wp,0.36276307531322044,0.05582037273173531,0.225
4,np,0.8150706452627977,0.007181114323126773,0.15
4,np_fan_in,0.7698745543214803,0.007438451556178431,0.10000000000000002
4,np_fixed,0.8105441328758994,0.007385143214681496,0.3
4,wp,0.47595905015865964,0.06314503665392597,0.225
5,np,0.6875279567514857,0.007768983118391286,0.15
5,np_fan_in,0.7195953093469143,0.008501812214187035,0.10000000000000002
5,np_fixed,0.7280313035783669,0.008566367672756314,0.3
5,wp,0.3846377631028493,0.06163114743928114,0.225
6,np,0.8203323182339469,0.007413386910532911,0.15
6,np_fan_in,0.8535520235697428,0.00784318168492367,0.10000000000000002
6,np_fixed,0.8486853428184986,0.007730351023686429,0.3
6,wp,0.5934736759712299,0.06569488424186905,0.225
7,np,0.7228661744544903,0.006811286274266119,0.15
7,np_fan_in,0.7245118021965027,0.007573807825489591,0.10000000000000002
7,np_fixed,0.7466262926657995,0.0075022263918071985,0.3
7,wp,0.36702823713615845,0.05796176257232825,0.225
8,np,0.6952245011925697,0.006841836215850587,0.15
8,np_fan_in,0.6880731669565042,0.007528201094828546,0.10000000000000002
8,np_fixed,0.6337269257443646,0.00750984992676725,0.3
8,wp,0.3637685738503933,0.06020283683513602,0.225
9,np,0.678590101810793,0.008448398400408527,0.15
9,np_fan_in,0.7164325627187887,0.00872513500507921,0.10000000000000002
9,np_fixed,0.7227277751080692,0.008624941401649266,0.3
9,wp,0.4385299813002348,0.06799466737235586,0.225
