seed,checkpoint_epoch,checkpoint_fraction,method,sigma,component,component_label,layer_index,avg_sample_cosine,mean_estimate_cosine,sample_variance,batch_variance
0,1,0.02,np,0.1,all,All layers,-1,0.029794648539579124,0.2809509557600205,0.025923142009056533,0.00026385248370038776
0,1,0.02,np,0.1,layer_1,Layer 1,0,0.002928232030892874,0.029735161245200568,0.14098643901256414,0.0014083510667730408
0,1,0.02,np,0.1,layer_2,Layer 2,1,0.013539762935476173,0.1355227743776945,0.009863694434842238,0.00010365505944579267
0,1,0.02,np,0.1,layer_3,Layer 3,2,0.27729680533960016,0.8939730954643053,0.02644438944183863,0.00032735314352276665
0,1,0.02,np_fan_in,0.0525,all,All layers,-1,0.017009827370593242,0.17082201904447106,0.10455213275093299,0.0010432073524078499
0,1,0.02,np_fan_in,0.0525,layer_1,Layer 1,0,0.00029489970437134624,0.002608112159382122,0.7911675540300516,0.0078879365661683
0,1,0.02,np_fan_in,0.0525,layer_2,Layer 2,1,0.015149519140783796,0.15394947869846454,0.009360196448575992,9.31773769060293e-05
0,1,0.02,np_fan_in,0.0525,layer_3,Layer 3,2,0.27797806601361996,0.932127379726332,0.026454936641340073,0.00040196005505164904
0,1,0.02,np_fixed,0.45,all,All layers,-1,0.03006750543954191,0.28295677304267886,0.027591286255763126,0.00027673152373888744
0,1,0.02,np_fixed,0.45,layer_1,Layer 1,0,0.0030512541595785125,0.031812475870649976,0.10035419051463787,0.0009726568250558697
0,1,0.02,np_fixed,0.45,layer_2,Layer 2,1,0.011028546060949268,0.10897266197089965,0.017464632283036526,0.0001791999120121965
0,1,0.02,np_fixed,0.45,layer_3,Layer 3,2,0.2879698450830049,0.9274226286663458,0.024249565214491807,0.00033080849300928935
0,1,0.02,wp,0.1,all,All layers,-1,0.004018712146510901,0.041595023006756,1.2651825978205755,0.012673802888737274
0,1,0.02,wp,0.1,layer_1,Layer 1,0,0.0006307040291409206,0.006030388064503383,1.2641893909527706,0.0125493593657246
0,1,0.02,wp,0.1,layer_2,Layer 2,1,0.0010832422602200565,0.011039543871839459,1.2652695793371933,0.012690508179366589
0,1,0.02,wp,0.1,layer_3,Layer 3,2,0.04639949827411413,0.3974770710946849,1.2717362101261431,0.012757482243558535
0,25,0.5,np,0.1,all,All layers,-1,0.034043084714842554,0.26678765683542366,0.011544329716035953,0.00012559997602903212
0,25,0.5,np,0.1,layer_1,Layer 1,0,0.0063847868812210015,0.06560646355725251,0.06267179927000632,0.0006210268904956488
0,25,0.5,np,0.1,layer_2,Layer 2,1,0.03528970068799446,0.2721806541586725,0.004391633840994193,4.990294554982728e-05
0,25,0.5,np,0.1,layer_3,Layer 3,2,0.19117203429516838,0.44883951258200866,0.013910690838327775,0.0009597977651607765
0,25,0.5,np_fan_in,0.0525,all,All layers,-1,0.022675559390159437,0.1978758427565201,0.10073903313336464,0.0009871709049688294
0,25,0.5,np_fan_in,0.0525,layer_1,Layer 1,0,0.0044196134097419775,0.04614012138738942,0.7976729901937338,0.00772919202886092
0,25,0.5,np_fan_in,0.0525,layer_2,Layer 2,1,0.031563660398688693,0.2474593534349249,0.0041729546420706,4.543507904879964e-05
0,25,0.5,np_fan_in,0.0525,layer_3,Layer 3,2,0.2056424817829393,0.4416606053217457,0.014302079422542682,0.0011127573281835513
0,25,0.5,np_fixed,0.45,all,All layers,-1,0.03952839685707617,0.31129651714402895,0.019277976410320172,0.00018438564142203315
0,25,0.5,np_fixed,0.45,layer_1,Layer 1,0,0.011589361650800198,0.11481869745139893,0.10279277851088689,0.0009139296278590336
0,25,0.5,np_fixed,0.45,layer_2,Layer 2,1,0.02750008092222428,0.23886136500021585,0.0076767133119014595,7.93096931794515e-05
0,25,0.5,np_fixed,0.45,layer_3,Layer 3,2,0.237801033619451,0.6384169916693981,0.012677641750241702,0.0006008838492841908
0,25,0.5,wp,0.1,all,All layers,-1,0.0051716988761361694,0.050915315365776995,0.5643884273675772,0.005647043482615397
0,25,0.5,wp,0.1,layer_1,Layer 1,0,0.002771965424595447,0.028386297609988384,0.5638880459161905,0.005626486886579257
0,25,0.5,wp,0.1,layer_2,Layer 2,1,0.003286247146976656,0.032243113893155866,0.5644224996750171,0.0056433632647475375
0,25,0.5,wp,0.1,layer_3,Layer 3,2,0.04506662611671457,0.30248075026588944,0.5689283591050368,0.006478808623237105
0,50,1.0,np,0.1,all,All layers,-1,0.0549228196497335,0.37449204486150006,0.010423462522717622,0.00011912274214689834
0,50,1.0,np,0.1,layer_1,Layer 1,0,0.007643125201998339,0.07668973493318144,0.05659858896755255,0.0005659000536140342
0,50,1.0,np,0.1,layer_2,Layer 2,1,0.058445852291287834,0.3925901715285503,0.003953974106563972,4.613775451546714e-05
0,50,1.0,np,0.1,layer_3,Layer 3,2,0.3178579693044787,0.5785197885993582,0.013782686725831949,0.0014710702230401624
0,50,1.0,np_fan_in,0.0525,all,All layers,-1,0.03669491997576915,0.2825859519581382,0.1468096449971199,0.0016096075674375662
0,50,1.0,np_fan_in,0.0525,layer_1,Layer 1,0,0.003984013173174739,0.03977911042300268,1.1789963091795261,0.012825935371578313
0,50,1.0,np_fan_in,0.0525,layer_2,Layer 2,1,0.05880655169445023,0.39172956828887645,0.003830673063818652,4.431272567531918e-05
0,50,1.0,np_fan_in,0.0525,layer_3,Layer 3,2,0.3189598078587263,0.4882047760586899,0.013814935045173535,0.0016382862204829087
0,50,1.0,np_fixed,0.45,all,All layers,-1,0.054508404413061026,0.3706208532819381,0.02509621443370214,0.0002524093995676734
0,50,1.0,np_fixed,0.45,layer_1,Layer 1,0,0.013072849415712249,0.12895323886321142,0.15578159391880037,0.0015059612414916046
0,50,1.0,np_fixed,0.45,layer_2,Layer 2,1,0.040880437015140506,0.31762701976471225,0.006962549682849875,7.252242184432151e-05
0,50,1.0,np_fixed,0.45,layer_3,Layer 3,2,0.3126764539781277,0.5771960937059842,0.012203586022727765,0.0008840263785364536
0,50,1.0,wp,0.1,all,All layers,-1,0.007890033330814344,0.07516412959846024,0.5084468050644948,0.005088571265626412
0,50,1.0,wp,0.1,layer_1,Layer 1,0,0.0025339481239517016,0.02659327479240556,0.5086186216427729,0.005075237165706662
0,50,1.0,wp,0.1,layer_2,Layer 2,1,0.005401023633657203,0.051779073491119425,0.5083729957158749,0.005080139346850606
0,50,1.0,wp,0.1,layer_3,Layer 3,2,0.07074110101510367,0.4150764607466184,0.5147753779704755,0.006395879137114837
1,1,0.02,np,0.1,all,All layers,-1,0.027072241297380797,0.2510917908297135,0.024881111859129026,0.00025148094864562153
1,1,0.02,np,0.1,layer_1,Layer 1,0,0.0009884612454228111,0.010739212666465811,0.13543840853067546,0.0013632010695381234
1,1,0.02,np,0.1,layer_2,Layer 2,1,0.015275352833828805,0.1502732290671422,0.009454097999976232,9.654918243401111e-05
1,1,0.02,np,0.1,layer_3,Layer 3,2,0.240697947927576,0.9070435282129508,0.024933715995687705,0.00022709765773750126
1,1,0.02,np_fan_in,0.0525,all,All layers,-1,0.016456762990006504,0.16013183851654714,0.10442210229543539,0.0010521131657207242
1,1,0.02,np_fan_in,0.0525,layer_1,Layer 1,0,0.0018159361653048945,0.019834583993248927,0.7895673838945535,0.007988323088592061
1,1,0.02,np_fan_in,0.0525,layer_2,Layer 2,1,0.013777745555777635,0.1413585797003739,0.009449776047124313,9.040967656451708e-05
1,1,0.02,np_fan_in,0.0525,layer_3,Layer 3,2,0.259536726445873,0.9383935130559481,0.024485845362337735,0.0002722703283255284
1,1,0.02,np_fixed,0.45,all,All layers,-1,0.027311938309598088,0.24984707170380996,0.026900640932413247,0.0002690149477880018
1,1,0.02,np_fixed,0.45,layer_1,Layer 1,0,0.0034438911804621827,0.036628140079287386,0.09409993485762523,0.000929475888215865
1,1,0.02,np_fixed,0.45,layer_2,Layer 2,1,0.010538676677197774,0.10192163647152483,0.01755226167062154,0.0001766173465652033
1,1,0.02,np_fixed,0.45,layer_3,Layer 3,2,0.2505371769393477,0.8849042608187749,0.023310395229894382,0.0002995323529970707
1,1,0.02,wp,0.1,all,All layers,-1,0.0038878354932286975,0.03902836508977298,1.220254292854896,0.01222004397557332
1,1,0.02,wp,0.1,layer_1,Layer 1,0,0.0007294398104641005,0.007614629320764484,1.2199020899259128,0.012120320561986702
1,1,0.02,wp,0.1,layer_2,Layer 2,1,0.0012093541893384906,0.012094780835860337,1.2202327975860008,0.012233070756953497
1,1,0.02,wp,0.1,layer_3,Layer 3,2,0.04412004871346849,0.375281214971955,1.2292248184864338,0.012332828973348324
1,25,0.5,np,0.1,all,All layers,-1,0.03516913518041369,0.3458535789870299,0.012353041338232847,0.00012567313746190988
1,25,0.5,np,0.1,layer_1,Layer 1,0,0.00801350637947413,0.08122455409555607,0.06711165618437986,0.0006817606071798274
1,25,0.5,np,0.1,layer_2,Layer 2,1,0.03407903073204636,0.3450980495374936,0.004700291411091502,4.756223122687795e-05
1,25,0.5,np,0.1,layer_3,Layer 3,2,0.2577492781848862,0.8722168411199863,0.013878866012852925,0.00019137895589945122
1,25,0.5,np_fan_in,0.0525,all,All layers,-1,0.02440722399967742,0.2442603745426123,0.07907943517829363,0.0009216962801964166
1,25,0.5,np_fan_in,0.0525,layer_1,Layer 1,0,0.005145899543714922,0.0521421822755096,0.6164639634581712,0.007232654113501597
1,25,0.5,np_fan_in,0.0525,layer_2,Layer 2,1,0.03561443266079781,0.34580592935582477,0.004609005174671228,4.671654485439201e-05
1,25,0.5,np_fan_in,0.0525,layer_3,Layer 3,2,0.2630810718991768,0.8408566540823533,0.013863314516269244,0.0002079942428211395
1,25,0.5,np_fixed,0.45,all,All layers,-1,0.03915108441655054,0.3697521965377606,0.016262549985773287,0.0001655921215178051
1,25,0.5,np_fixed,0.45,layer_1,Layer 1,0,0.01095841734589731,0.11069283478606778,0.07353397650787463,0.0007401658360882161
1,25,0.5,np_fixed,0.45,layer_2,Layer 2,1,0.028354719130230095,0.2875937562722426,0.008299591836447899,8.495501477647429e-05
1,25,0.5,np_fixed,0.45,layer_3,Layer 3,2,0.2693486642952328,0.8803397870980776,0.012654834369627329,0.0002245312579851508
1,25,0.5,wp,0.1,all,All layers,-1,0.005234221452353285,0.05694951568371975,0.599740292934271,0.005995659111067653
1,25,0.5,wp,0.1,layer_1,Layer 1,0,0.002377360740705626,0.02423472073121677,0.5999319622149835,0.006022284273058176
1,25,0.5,wp,0.1,layer_2,Layer 2,1,0.003256572279574374,0.0353644479979546,0.5996674235050495,0.005990310256870893
1,25,0.5,wp,0.1,layer_3,Layer 3,2,0.04911097032830954,0.4278463488444686,0.605599006322714,0.006203161806871111
1,50,1.0,np,0.1,all,All layers,-1,0.03890099102128685,0.3121996459766076,0.010796539263369945,0.00011098161574829227
1,50,1.0,np,0.1,layer_1,Layer 1,0,0.007123612903789483,0.07310210913419724,0.058628920236459145,0.0005864495169729568
1,50,1.0,np,0.1,layer_2,Layer 2,1,0.04163159384079644,0.3302934265265671,0.004107940143260818,4.332272899493826e-05
1,50,1.0,np,0.1,layer_3,Layer 3,2,0.2395717013338939,0.7221101823907632,0.0126145564736082,0.0002779469537367382
1,50,1.0,np_fan_in,0.0525,all,All layers,-1,0.026332322080048643,0.22644846744907016,0.0995861327705475,0.0010810918529526904
1,50,1.0,np_fan_in,0.0525,layer_1,Layer 1,0,0.003904509100304075,0.03901379344841609,0.7889506660974943,0.008582542369213814
