condition,condition_label,input_scale,checkpoint_epoch,method,method_label,cosine_similarity,cosine_similarity_std,update_variance,update_variance_std,batch_variance,sigma,num_seeds,num_batches
base,"[-1, 1]",1.0,1,np,IS-NP,0.7479742064198944,0.10730810305148727,0.010835101141128688,0.0013586873463354396,4.944134445850068e-05,0.15,10,8.0
base,"[-1, 1]",1.0,1,np_fan_in,Fan-in NP,0.7659301684703678,0.11179218292726104,0.010706451686564833,0.0010980356069154066,4.703426948253764e-05,0.1,10,8.0
base,"[-1, 1]",1.0,1,np_fixed,Vanilla NP,0.7529091157019139,0.10658384826445998,0.010671068477677181,0.0011558564051660676,4.6808112028884355e-05,0.3,10,8.0
base,"[-1, 1]",1.0,1,wp,WP,0.5081251941504888,0.1349624311145303,0.07707341695204377,0.007731076177148196,0.00035121828259434553,0.225,10,8.0
base,"[-1, 1]",1.0,120,np,IS-NP,0.8109563348814846,0.06904546068363153,0.006492660802905448,0.0013386018084206573,3.466320416691815e-05,0.15,10,8.0
base,"[-1, 1]",1.0,120,np_fan_in,Fan-in NP,0.815585108473897,0.07311311269360868,0.006934755953261628,0.0010619152897603562,3.237461969547439e-05,0.1,10,8.0
base,"[-1, 1]",1.0,120,np_fixed,Vanilla NP,0.7907336458563805,0.08859666184996993,0.006908069807104766,0.0011473554512988614,3.371065961346176e-05,0.3,10,8.0
base,"[-1, 1]",1.0,120,wp,WP,0.4935760629363358,0.1020586030816281,0.05816373936831951,0.005452287840941369,0.0002755467161478009,0.225,10,8.0
base,"[-1, 1]",1.0,240,np,IS-NP,0.7615747241303324,0.10752517127253133,0.005341296072583645,0.00035546959308463774,3.1057417368174355e-05,0.15,10,8.0
base,"[-1, 1]",1.0,240,np_fan_in,Fan-in NP,0.7324739537900313,0.15615735475018624,0.006105235818540678,0.0003137571023695113,3.257813112895746e-05,0.1,10,8.0
base,"[-1, 1]",1.0,240,np_fixed,Vanilla NP,0.7667120736092329,0.09507484229420926,0.006117166485637426,0.00034001265686319686,3.3490926011836566e-05,0.3,10,8.0
base,"[-1, 1]",1.0,240,wp,WP,0.4496990457642823,0.1408225823003621,0.05417215027846396,0.0032487795679417048,0.00027063410616392505,0.225,10,8.0
scaled,"[-5, 5]",5.0,1,np,IS-NP,0.7917789125815033,0.07718183900191887,0.010967140848515555,0.0013078437417075165,5.119469860801473e-05,0.15,10,8.0
scaled,"[-5, 5]",5.0,1,np_fan_in,Fan-in NP,0.5166368101723492,0.08981900146687714,0.10203209314495325,0.010868291424564629,0.0004371345799881965,0.1,10,8.0
scaled,"[-5, 5]",5.0,1,np_fixed,Vanilla NP,0.5003087361343205,0.08912356824959936,0.10210158000700176,0.01111062800360837,0.0004357303743745433,0.3,10,8.0
scaled,"[-5, 5]",5.0,1,wp,WP,0.5259614398237318,0.11963081559997332,0.07837924230843782,0.0074860547890916364,0.00035800704736175246,0.225,10,8.0
scaled,"[-5, 5]",5.0,120,np,IS-NP,0.8040913850069046,0.07648756148773894,0.005450684233801439,0.0005085952812420912,3.8089050190137644e-05,0.15,10,8.0
scaled,"[-5, 5]",5.0,120,np_fan_in,Fan-in NP,0.5575841039419174,0.06846531759910504,0.04704968300648034,0.004373616902730742,0.00020020182982989355,0.1,10,8.0
scaled,"[-5, 5]",5.0,120,np_fixed,Vanilla NP,0.5687566407956183,0.08220715471593198,0.04703355729579926,0.003922592045513896,0.0001982879034585494,0.3,10,8.0
scaled,"[-5, 5]",5.0,120,wp,WP,0.4544098713435233,0.08072423728480907,0.05609909575432539,0.005631889278122341,0.00028801568605558715,0.225,10,8.0
scaled,"[-5, 5]",5.0,240,np,IS-NP,0.7552029529586435,0.08408569379173404,0.005646591272670776,0.0006525855669061091,4.5678137507820796e-05,0.15,10,8.0
scaled,"[-5, 5]",5.0,240,np_fan_in,Fan-in NP,0.5415041895583272,0.12010241830120344,0.04350486104376614,0.0032467433669186854,0.00018529002854847932,0.1,10,8.0
scaled,"[-5, 5]",5.0,240,np_fixed,Vanilla NP,0.5594410996884107,0.10345325757790853,0.04361563362181187,0.0030435346446457266,0.00018434320509186364,0.3,10,8.0
scaled,"[-5, 5]",5.0,240,wp,WP,0.40439854392898267,0.1367440331981247,0.06268508601933717,0.007696811091137472,0.0003472567454082309,0.225,10,8.0
