seed,method,cosine,variance,sigma
0,np,0.04434460284534162,1.894351918187233e-05,0.0175
0,np_fan_in,0.037661177169939164,2.000043695938298e-05,0.0055000000000000005
0,np_fixed,0.026384769093699637,4.404753838494436e-05,0.19000000000000003
0,wp,0.0009663537569789245,0.049891874803911385,0.012500000000000002
1,np,0.04676122669700631,1.82206101251572e-05,0.0175
1,np_fan_in,0.042962126341228195,1.9167400128999275e-05,0.0055000000000000005
1,np_fixed,0.02789447743886336,4.311149069924614e-05,0.19000000000000003
1,wp,0.0009733644144401321,0.05043680498333614,0.012500000000000002
2,np,0.04687769323591784,1.846426197398994e-05,0.0175
2,np_fan_in,0.04232156887587133,1.9414793460315136e-05,0.0055000000000000005
2,np_fixed,0.02768390714283447,4.446596133932128e-05,0.19000000000000003
2,wp,0.000965690655863862,0.050441741470949375,0.012500000000000002
3,np,0.05020291779769104,1.858168383003668e-05,0.0175
3,np_fan_in,0.04578804698467262,1.955594006465606e-05,0.0055000000000000005
3,np_fixed,0.02827116093501827,4.47603816615781e-05,0.19000000000000003
3,wp,0.0010688501795472632,0.04965895963856556,0.012500000000000002
4,np,0.046990631229228495,1.9331919359479142e-05,0.0175
4,np_fan_in,0.04090837527218675,2.0521688335718697e-05,0.0055000000000000005
4,np_fixed,0.027351134409453127,4.58519427561794e-05,0.19000000000000003
4,wp,0.000983786722047731,0.051423469690950574,0.012500000000000002
