checkpoint_epoch,method,cosine_mean,cosine_std,variance_mean,variance_std,sigma
1,np,0.046886730038360254,0.0013150675503240696,3.5377826785043928e-06,1.9998226811262745e-07,0.0175
1,np_fan_in,0.038990226267634,0.0029276557672968254,4.908000823830718e-06,2.8527939233468775e-07,0.0055
1,np_fixed,0.016501961868058558,0.0009511374285849527,2.6301500914894376e-05,7.052839291056673e-07,0.19
1,wp,0.0008912979052382098,3.4195973038870534e-05,0.011536288727313052,0.0005294573639131323,0.0125
25,np,0.045765525043395386,0.00278168067013611,2.0520265790248436e-05,4.0754221189031144e-07,0.0175
25,np_fan_in,0.04352506948861076,0.004421376685376106,2.1053121597043124e-05,3.502920802082608e-07,0.0055
25,np_fixed,0.0294977869944694,0.0015088608808228076,4.588342903320656e-05,7.202264381090324e-07,0.19
25,wp,0.0009607630636134006,2.8931371631344813e-05,0.05850694357891521,0.0005655106381962369,0.0125
50,np,0.048453988001355544,0.0046831405628991385,3.206714821356835e-05,9.941696936308244e-07,0.0175
50,np_fan_in,0.04326948103009407,0.004734475037624079,3.3235032948569453e-05,1.1086706961420223e-06,0.0055
50,np_fixed,0.036551520549393354,0.0008729032912772395,6.115745895666062e-05,1.7503043400994288e-06,0.19
50,wp,0.0011227664684751375,9.618783195420657e-05,0.08106847804639955,0.0017018921320137242,0.0125
