seed,checkpoint_epoch,method,cosine,variance,sigma
0,1,np,0.25269064909903105,9.571489424340555e-06,0.0325
0,1,np_fan_in,0.2566045372729089,1.2847865007782153e-05,0.00875
0,1,np_fixed,0.15468253570187623,4.418386404745868e-05,0.12
0,1,wp,0.012136880966840655,0.006263903164227677,0.0275
0,10,np,0.1862194121927972,1.3688515757201655e-05,0.0325
0,10,np_fan_in,0.1797353611298048,1.6820807087143948e-05,0.00875
0,10,np_fixed,0.1261188477087932,4.5930112203787774e-05,0.12
0,10,wp,0.008381380066334916,0.009248704403330376,0.0275
0,20,np,0.1450274707215607,1.2520960287248811e-05,0.0325
0,20,np_fan_in,0.14811678076530718,1.5189911748490601e-05,0.00875
0,20,np_fixed,0.12291049411532226,3.7155293846657875e-05,0.12
0,20,wp,0.007072392277842963,0.007989659727473928,0.0275
1,1,np,0.2931343835250587,1.0318330279023128e-05,0.0325
1,1,np_fan_in,0.2909689478243992,1.3467443043673425e-05,0.00875
1,1,np_fixed,0.16268832511772777,4.666456256609019e-05,0.12
1,1,wp,0.013049354186506977,0.00683679488920577,0.0275
1,10,np,0.27907920742680314,1.3559394018134328e-05,0.0325
1,10,np_fan_in,0.24973907321691513,1.655853250835856e-05,0.00875
1,10,np_fixed,0.14651385837109984,4.554156353122519e-05,0.12
1,10,wp,0.011805371703152918,0.009167435593831881,0.0275
1,20,np,0.20106343757420495,1.2542903428407131e-05,0.0325
1,20,np_fan_in,0.1947990293098483,1.5059720020767919e-05,0.00875
1,20,np_fixed,0.138817900969724,3.6911869165413436e-05,0.12
1,20,wp,0.009647833164499563,0.007963885929862595,0.0275
2,1,np,0.2243935786140193,1.0228405728273296e-05,0.0325
2,1,np_fan_in,0.23582636161594633,1.3461266149580257e-05,0.00875
2,1,np_fixed,0.14269580008687488,4.6393579071547814e-05,0.12
2,1,wp,0.010329830102847925,0.006938011240166653,0.0275
2,10,np,0.16779348149800757,1.29430002332602e-05,0.0325
2,10,np_fan_in,0.16792093853282322,1.612122329910342e-05,0.00875
2,10,np_fixed,0.12115287477043783,4.551049807710665e-05,0.12
2,10,wp,0.007371682081420485,0.008964191801893484,0.0275
2,20,np,0.14403439332155665,1.1780485814377209e-05,0.0325
2,20,np_fan_in,0.1448517151556577,1.4376904748746855e-05,0.00875
2,20,np_fixed,0.12016167038470317,3.6996855466959514e-05,0.12
2,20,wp,0.007185757810272726,0.007748689463919705,0.0275
3,1,np,0.2331885105105722,9.478929204288663e-06,0.0325
3,1,np_fan_in,0.24622413359440057,1.246173336083673e-05,0.00875
3,1,np_fixed,0.14741761218400518,4.3966154697474244e-05,0.12
3,1,wp,0.011122467867573309,0.006269381209543556,0.0275
3,10,np,0.24723344642645234,1.3398302567082421e-05,0.0325
3,10,np_fan_in,0.22765491608601468,1.641852658551192e-05,0.00875
3,10,np_fixed,0.14127966263301814,4.560426835958389e-05,0.12
3,10,wp,0.010432884530134641,0.009146191161956377,0.0275
3,20,np,0.1579448703652734,1.197007472939592e-05,0.0325
3,20,np_fan_in,0.16281914174746556,1.4531627535561594e-05,0.00875
3,20,np_fixed,0.12862099892204734,3.6961569320199166e-05,0.12
3,20,wp,0.007945242229809059,0.007806989043998491,0.0275
4,1,np,0.25400910759048095,1.040140339184499e-05,0.0325
4,1,np_fan_in,0.25812103015602017,1.3353769581896182e-05,0.00875
4,1,np_fixed,0.15314184266860317,4.546239330347295e-05,0.12
4,1,wp,0.0118731429272444,0.006846471657015526,0.0275
4,10,np,0.2551206211280671,1.3085925738372807e-05,0.0325
4,10,np_fan_in,0.2248662993976265,1.6422770067657918e-05,0.00875
4,10,np_fixed,0.14501176019952555,4.532181568500129e-05,0.12
4,10,wp,0.010520011297824561,0.008973534266422889,0.0275
4,20,np,0.22015314895635957,1.1971979072270395e-05,0.0325
4,20,np_fan_in,0.21423300464821468,1.476380220761005e-05,0.00875
4,20,np_fixed,0.14060525558177073,3.6766553728357044e-05,0.12
4,20,wp,0.00997512215291666,0.007818725879547322,0.0275
