seed,task,method,method_label,best_train_loss,best_test_loss,best_train_score,best_test_score,score_metric,convergence_epoch,epochs_completed,diverged
0,MNIST,bp,BP,0.00018603196868207305,0.005560323432832956,0.99975,0.977,Accuracy,23,400,False
0,MNIST,np,IS NP,0.011639084085822106,0.012846633552014828,0.95575,0.9468,Accuracy,90,400,False
0,MNIST,np_fixed,Vanilla NP,0.025342942237854004,0.025394418752193452,0.90475,0.9032,Accuracy,222,400,False
0,MNIST,np_fan_in,Fan-in NP,0.018894013822078705,0.019085304126143454,0.9245,0.9212,Accuracy,178,400,False
0,MNIST,wp,WP,0.0403606124818325,0.040260853654146195,0.8235,0.8234,Accuracy,197,400,False
1,MNIST,bp,BP,0.0001417875137994997,0.005801655046641827,1.0,0.9764,Accuracy,22,400,False
1,MNIST,np,IS NP,0.010964414797723294,0.012034976825118065,0.95925,0.953,Accuracy,103,400,False
1,MNIST,np_fixed,Vanilla NP,0.02540379412472248,0.025402990415692328,0.903,0.9024,Accuracy,215,400,False
1,MNIST,np_fan_in,Fan-in NP,0.018538446933031083,0.018774037799239158,0.92375,0.9202,Accuracy,168,400,False
1,MNIST,wp,WP,0.040173152446746824,0.040011916488409044,0.82825,0.8262,Accuracy,212,400,False
2,MNIST,bp,BP,0.0001595527995377779,0.0060049365609884265,1.0,0.976,Accuracy,22,400,False
2,MNIST,np,IS NP,0.010966998524963856,0.012349243567883968,0.9595,0.948,Accuracy,105,400,False
2,MNIST,np_fixed,Vanilla NP,0.026442273139953613,0.026490698489546775,0.9035,0.9028,Accuracy,219,400,False
2,MNIST,np_fan_in,Fan-in NP,0.01987886969745159,0.019939123347401617,0.91725,0.9172,Accuracy,172,400,False
2,MNIST,wp,WP,0.04036431017518043,0.04008165755271911,0.825,0.8176,Accuracy,212,400,False
3,MNIST,bp,BP,0.00012769176880829037,0.006006494155526161,1.0,0.9754,Accuracy,22,400,False
3,MNIST,np,IS NP,0.011211657099425792,0.012396176853775979,0.9585,0.948,Accuracy,91,400,False
3,MNIST,np_fixed,Vanilla NP,0.026625571325421333,0.026536124795675277,0.905,0.908,Accuracy,191,400,False
3,MNIST,np_fan_in,Fan-in NP,0.01898915058374405,0.019085454285144805,0.92475,0.9254,Accuracy,176,400,False
3,MNIST,wp,WP,0.0400255970954895,0.03980946936011314,0.82775,0.8304,Accuracy,189,400,False
4,MNIST,bp,BP,0.0001551437061280012,0.005992227152734995,1.0,0.9754,Accuracy,22,400,False
4,MNIST,np,IS NP,0.010780691839754582,0.012033555664122104,0.95875,0.9514,Accuracy,99,400,False
4,MNIST,np_fixed,Vanilla NP,0.025651867970824242,0.02581037423312664,0.907,0.9046,Accuracy,194,400,False
4,MNIST,np_fan_in,Fan-in NP,0.018918840542435648,0.01922018076181412,0.92225,0.9212,Accuracy,169,400,False
4,MNIST,wp,WP,0.041992722034454345,0.042703042095899583,0.8165,0.8144,Accuracy,154,400,False
