seed,checkpoint_epoch,method,cosine,variance,sigma
0,1,np,0.6402715872973204,0.010140289319679141,0.15
0,1,np_fan_in,0.6464628428220749,0.010209932341240346,0.1
0,1,np_fixed,0.7583763711154461,0.010225137579254806,0.3
0,1,wp,0.33740988466888666,0.07582701183855534,0.225
0,120,np,0.6780181713402271,0.006820692622568458,0.15
0,120,np_fan_in,0.6945635005831718,0.007207628106698394,0.1
0,120,np_fixed,0.6217498388141394,0.007217577542178333,0.3
0,120,wp,0.3177349651232362,0.05979821318760514,0.225
0,240,np,0.7191915772855282,0.00545171822886914,0.15
0,240,np_fan_in,0.7038094773888588,0.006324051646515727,0.1
0,240,np_fixed,0.7899222522974014,0.00626778625883162,0.3
0,240,wp,0.3767484902055003,0.05414877412840724,0.225
1,1,np,0.8524701446294785,0.01030335039831698,0.15
1,1,np_fan_in,0.8996238857507706,0.01007937896065414,0.1
1,1,np_fixed,0.8325388128869236,0.010206247679889202,0.3
1,1,wp,0.6258054319769144,0.07579524163156748,0.225
1,120,np,0.8352012932300568,0.006337299477308989,0.15
1,120,np_fan_in,0.8514141291379929,0.006614427373278886,0.1
1,120,np_fixed,0.858827993273735,0.006764133868273348,0.3
1,120,wp,0.5580529570579529,0.060225535184144974,0.225
1,240,np,0.816619336605072,0.006051160453353077,0.15
1,240,np_fan_in,0.820561408996582,0.006463570287451148,0.1
1,240,np_fixed,0.8243244923651218,0.00646565540228039,0.3
1,240,wp,0.5486401687376201,0.05948157422244549,0.225
2,1,np,0.717975314706564,0.009960044524632394,0.15
2,1,np_fan_in,0.8133281618356705,0.010428659385070205,0.1
2,1,np_fixed,0.8246426060795784,0.01038389781024307,0.3
2,1,wp,0.46922980435192585,0.07075955020263791,0.225
2,120,np,0.606754707172513,0.006580958084668964,0.15
2,120,np_fan_in,0.6517986580729485,0.007016975607257336,0.1
2,120,np_fixed,0.6844236068427563,0.007111878541763872,0.3
2,120,wp,0.30085391364991665,0.057330400217324495,0.225
2,240,np,0.6302199717611074,0.0052781159756705165,0.15
2,240,np_fan_in,0.6996349338442087,0.006488270882982761,0.1
2,240,np_fixed,0.6649435246363282,0.006241132155992091,0.3
2,240,wp,0.3852559933438897,0.05131982080638409,0.225
3,1,np,0.7190427165478468,0.009974190150387585,0.15
3,1,np_fan_in,0.7284800186753273,0.010205011698417366,0.1
