checkpoint_epoch,method,cosine_mean,cosine_std,variance_mean,variance_std,sigma
1,np,0.6905609901994467,0.08466557518819168,0.009986343118362129,0.0003192175927747752,0.15
1,np_fan_in,0.7305976749048568,0.0896669649345501,0.010111881501507014,0.00016949587507315264,0.1
1,np_fixed,0.7520264033228159,0.08223506618047345,0.010073361289687454,0.00019378433090143924,0.3
1,wp,0.4219631641812157,0.10599539013098197,0.07330415272153915,0.0038951077039277087,0.225
120,np,0.7424122978001833,0.09110163175118534,0.006513512745732442,0.0013346319360115263,0.15
120,np_fan_in,0.7522519054356962,0.0825510716905926,0.007083501562010497,0.001171797334929976,0.1
120,np_fixed,0.7329841346014291,0.10519179669463201,0.007091049605514854,0.0011403343837649207,0.3
120,wp,0.4236703327391297,0.12609435373709638,0.05834832042455673,0.005849631872166268,0.225
240,np,0.7501449895091354,0.09458564287496404,0.005549851240357384,0.00032272501944232936,0.15
240,np_fan_in,0.7485512072220445,0.09999765794473628,0.006404100469080731,0.0001608589957745342,0.1
240,np_fixed,0.7617874483112246,0.10260620123927768,0.006362933485070244,0.00016783291761699804,0.3
240,wp,0.44218777104106266,0.14208304991774612,0.054551351349800825,0.003575043490112665,0.225
