task,method,best_train_loss,best_test_loss,best_train_score,best_test_score,score_metric,convergence_epoch,cosine,variance
Sinus,BP,0.0876,0.0717,0.555,0.559,R2,118,1.00,0.00
Sinus,IS-NP,0.0873,0.0727,0.556,0.553,R2,73,0.812,0.00649
Sinus,Vanilla NP,0.0876,0.0717,0.554,0.558,R2,159,0.788,0.00717
Sinus,Fan-in NP,0.0870,0.0716,0.558,0.559,R2,119,0.808,0.00726
Sinus,WP,0.0883,0.0725,0.551,0.554,R2,200,0.524,0.0555
California Housing,BP,0.267,0.256,0.733,0.741,R2,22,1.00,0.00
California Housing,IS-NP,0.350,0.338,0.650,0.659,R2,54,0.459,0.0162
California Housing,Fan-in NP,0.392,0.390,0.608,0.607,R2,43,0.368,0.0847
California Housing,Vanilla NP,0.363,0.354,0.637,0.643,R2,45,0.473,0.0200
California Housing,WP,0.356,0.345,0.644,0.652,R2,18,0.118,0.792
MNIST,BP,2.25e-4,0.00588,0.999,0.976,Accuracy,21,1.00,0.00
MNIST,IS-NP,0.0114,0.0122,0.951,0.949,Accuracy,94,0.215,1.18e-5
MNIST,Fan-in NP,0.0202,0.0199,0.913,0.917,Accuracy,169,0.210,1.48e-5
MNIST,Vanilla NP,0.0276,0.0270,0.890,0.901,Accuracy,189,0.135,4.33e-5
MNIST,WP,0.0424,0.0418,0.801,0.810,Accuracy,164,0.00973,0.00793
CIFAR-10,BP,0.0490,0.0678,0.721,0.499,Accuracy,34,1.00,0.00
CIFAR-10,IS-NP,0.0804,0.0806,0.345,0.339,Accuracy,40,0.0483,1.22e-5
CIFAR-10,Fan-in NP,0.0821,0.0820,0.333,0.321,Accuracy,53,0.0436,1.31e-5
CIFAR-10,Vanilla NP,0.0833,0.0832,0.300,0.296,Accuracy,52,0.0260,3.65e-5
CIFAR-10,WP,0.0851,0.0851,0.270,0.264,Accuracy,43,9.92e-4,0.0355
