task,method,best_train_loss,best_test_loss,best_train_score,best_test_score,score_metric,convergence_epoch,cosine,variance
Sinus,BP,0.08759188652038574,0.07169540971517563,0.5546784400939941,0.5586104989051819,R2,118,1.0,0.0
Sinus,IS-NP,0.08726273477077484,0.07266014814376831,0.556351900100708,0.5526711344718933,R2,73,0.8124130181968212,0.006491200940217823
Sinus,Vanilla NP,0.08763586729764938,0.07172317802906036,0.5544548034667969,0.5584395527839661,R2,159,0.7881322441001734,0.007166938448790461
Sinus,Fan-in NP,0.0869888886809349,0.071559377014637,0.5577441453933716,0.5594480037689209,R2,119,0.8075285206238428,0.007259277413443972
Sinus,WP,0.08829006552696228,0.07250650227069855,0.5511288642883301,0.5536171197891235,R2,200,0.5235247916231552,0.05550430264944831
California Housing,BP,0.26733142137527466,0.2564994430588197,0.7326685786247253,0.7413350343704224,R2,22,1.0,0.0
California Housing,IS-NP,0.34962649493254433,0.33817647616992624,0.6503734588623047,0.658968448638916,R2,54,0.4592824314410488,0.01623064264273032
California Housing,Fan-in NP,0.391810371894245,0.3902002968067347,0.608189582824707,0.6065055131912231,R2,43,0.3680945781322244,0.08471923874070247
California Housing,Vanilla NP,0.36321070536162503,0.3541511021150175,0.6367893218994141,0.6428590416908264,R2,45,0.4734652212749307,0.019995504579482935
California Housing,WP,0.35638825699340465,0.34488084334735725,0.6436117887496948,0.652207612991333,R2,18,0.11814493331580589,0.792236748872659
MNIST,BP,0.00022452101402450352,0.0058814808994531636,0.99925,0.9762,Accuracy,21,1.0,0.0
MNIST,IS-NP,0.011394609354436397,0.012181286020576955,0.951,0.9488,Accuracy,94,0.21454869270039975,1.1828901669956672e-05
MNIST,Fan-in NP,0.020153235077857972,0.019942557260394095,0.913,0.9174,Accuracy,169,0.2096796994781687,1.4834518220603506e-05
MNIST,Vanilla NP,0.027551979273557663,0.026958462446928025,0.8905,0.9014,Accuracy,189,0.135048736005452,4.325602615834585e-05
MNIST,WP,0.042417034268379214,0.04178449782133102,0.80075,0.81,Accuracy,164,0.009728698818315356,0.007929231154864887
CIFAR-10,BP,0.04901488387584686,0.06780712136030197,0.72075,0.499,Accuracy,34,1.0,0.0
CIFAR-10,IS-NP,0.0803517085313797,0.08056170030832291,0.345,0.3392,Accuracy,40,0.04834157131580663,1.2244420274169809e-05
CIFAR-10,Fan-in NP,0.08208969986438751,0.08201898163557053,0.333,0.3212,Accuracy,53,0.043561986789759595,1.3106738605473249e-05
CIFAR-10,Vanilla NP,0.08329270029067994,0.08320108137130737,0.29975,0.296,Accuracy,52,0.026033075641628878,3.647371119870992e-05
CIFAR-10,WP,0.08508704197406769,0.08512522773742676,0.27,0.264,Accuracy,43,0.0009917167324842314,0.03545905962277939
